route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
20,2024_08_12-DX20-Weekday-01,1583700,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583701,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583702,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583704,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583705,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583706,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583703,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583707,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583708,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583709,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583710,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583711,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583712,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583713,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583714,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583715,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583716,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583717,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583718,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583719,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583720,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583721,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583722,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583723,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583724,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583725,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583726,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583727,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583728,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583729,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583730,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583731,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583732,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583733,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583734,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583735,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583736,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583737,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583738,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583739,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583741,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583742,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583743,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583740,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583744,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583745,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583746,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583747,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583748,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583749,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583750,"Oakland Airport",1,,020_shp,,1,1
5,2024_08_12-SA-MVS-Saturday-01,1576714,"OAK Airport / SF / Daly City",1,,005B_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1576716,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1576715,"OAK Airport / SF / Daly City",1,,005B_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1576717,"Berryessa/North San Jose",0,,006B_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1576718,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575752,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575753,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575862,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575754,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575863,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575755,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575864,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575756,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575865,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575757,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575866,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575758,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575867,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575759,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575868,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575760,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575869,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575761,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575870,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575762,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575871,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575763,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575872,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575764,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575873,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575765,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575874,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575766,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575875,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575767,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575876,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575768,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575877,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575769,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575878,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575770,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575879,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575771,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
